# list of object assets to load in this scene
[ASSETS]
Resources\WorldMap\DancingShrub.txt
Resources\WorldMap\Hammer_Bros.txt
Resources\WorldMap\Help_Effect.txt
Resources\WorldMap\Map.txt
Resources\WorldMap\Mario.txt

Resources\World1-1\Hud.txt
[OBJECTS]
# type	x	y	extra_settings per object type
# See OBJECT_TYPE constants in AssetIDs.h

# Map background
19	145	98

# Hud
12	145	200

# Dancing shrub
20	37	27
20	53	27
20	69	27

20	37	43
20	53	43
20	69	43

20	37	76
20	53	76
20	69	76

20	37	92
20	53	92
20	69	92

20	37	108

20	102	43
20	118	43
20	134	43

20	102	59
20	118	59
20	134	59

20	102	75
20	118	75
20	134	75

20	118	110
20	134	110
20	150	110


20	169	43
20	185	43
20	201	43

20	236	27
20	252	27

20	236	43
20	252	43

20	236	59
20	252	59

20	169	76
20	186	76
20	202	76
20	218	76
20	234	76
20	251	76

20	169	92
20	185	92

20	251	92
20	251	108
20	251	124
20	251	140
20	251	156

# Hammer bros
22	210	130	1

# Help effect
22	235	109	2

# Mario world map
23	54	60
