# id	left	top	right	bottom	texture_id
# ======================================
[SPRITES]
#-------------------------------TAIL-------------------------------
# IDLING LEFT & RIGHT
15001	181	634	202	661	0
15002	243	634	264	661	0

# WALKING LEFT
15003	181	634	202	661	0
15004	152	634	173	661	0
15005	122	634	143	661	0

# WALKING RIGHT
15006	243	634	264	661	0
15007	272	634	293	661	0
15008	301	634	324	661	0

# RUNNING LEFT
15009	91	634	114	661	0
15010	61	634	84	661	0
15011	32	634	55	661	0

# RUNNING RIGHT
15012	331	634	354	661	0
15013	361	634	384	661	0
15014	390	634	413	661	0

# BRACING LEFT & RIGHT
15015	4	633	21	662	0
15016	424	633	441	662	0

# JUMPING LEFT & RIGHT
15017	31	754	54	781	0
15018	391	754	414	781	0

# FLYING UP LEFT
15019	61	714	84	741	0
15020	61	753	84	780	0

# FLYING UP RIGHT
15021	361	714	384	741	0
15022	361	753	384	780	0

# FLYING DOWN LEFT
15023	30	874	53	901	0
15024	122	634	143	661	0

# FLYING DOWN RIGHT
15025	393	873	416	900	0
15026	301	634	324	661	0

# ATTACKING LEFT
15027	57	874	84	901	0
15028	213	632	236	661	0
15029	63	912	98	939	0
15030	214	674	235	701	0

# ATTACKING RIGHT
15031	362	874	389	901	0
15032	209	632	232	661	0
15033	377	911	412	938	0
15034	210	674	231	701	0

# SITTING LEFT & RIGHT
15035	32	718	53	737	0
15036	392	718	413	737	0

# KICKING KOOBA LEFT & RIGHT
15037	2	754	23	781	0
15038	422	754	443	781	0

# HOLDING KOOBA LEFT
15039	182	794	203	821	0
15040	152	794	173	821	0
15041	122	794	142	820	0

# HOLDING KOOBA RIGHT
15042	242	794	263	821	0
15043	272	794	293	821	0
15044	303	794	323	820	0

#------------------------------  BIG -------------------------------
# IDLE
11121	246	154	259	181	0
11111	186	154	199	181	0

# WALKING RIGHT
11222	275	154	290	181	0
11223	304	154	321	181	0

# WALKING LEFT
11212	155	154	170	181	0
11213	125	154	140	181	0

# RUNNING RIGHT
11321	334	154	353	181	0
11322	362	154	381	181	0
11323	392	154	411	181	0

# RUNNING LEFT
11311	93	154	112	181	0
11312	65	154	84	181	0
11313	34	154	55	181	0

# JUMP WALK RIGHT & LEFT
11417	395	275	412	302	0
11413	35	275	52	302	0

# JUMP RUN RIGHT & LEFT
11427	394	195	413	222	0
11423	35	195	52	222	0

# SIT RIGHT & LEFT 
11521	426	239	441	256	0
11511	5	239	20	256	0

# BRACE RIGHT & LEFT 
11621	425	154	442	181	0
11611	5	154	22	181	0

# DIE
13001	215	120	234	137	0

# KICK KOOBA LEFT & RIGHT
16101	2	273	31	300	0
16102	414	273	443	300	0

# HOLDING KOOBA LEFT
16103	96	234	109	261	0
16104	154	314	169	341	0
16105	122	315	141	342	0

# HOLDING KOOBA RIGHT
16106	336	234	349	261	0
16107	276	314	291	341	0
16108	304	315	323	342	0


#------------------------------ SMALL ------------------------------
# IDLE
12121	247	0	260	15	0
12111	187	0	200	15	0

# WALK RIGHT
12222	275	0	292	15	0
12223	306	0	321	15	0

# WALK LEFT
12212	155	0	170	15	0
12213	125	0	140	15	0

# RUN RIGHT
12321	275	0	290	15	0
12322	306	0	321	15	0
12323	335	0	350	15	0

# RUN LEFT
12311	155	0	170	15	0
12312	125	0	140	15	0
12313	95	0	110	15	0

# BRACE RIGHT & LEFT
12511	6	0	19	15	0
12521	426	0	439	15	0

# JUMP WALK RIGHT & LEFT 
12413	35	80	50	95	0
12417	395	80	410	95	0

# JUMP RUN RIGHT & LEFT 
12423	65	40	80	55	0
12427	365	40	380	55	0

